Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
25.28,65068.9,306.27,7,2,2025,6,10,37,47.615021,-122.178456,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,000000000000000000000000000000000000000000000000000000000000000000000000
25.28,65068.9,306.27,7,2,2025,6,10,38,47.615021999999996,-122.17846,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,000000000000000000000000000000000000000000000000000000000000000000000000
182.28,151463.45,655.35,7,2,2025,6,10,38,47.615021999999996,-122.17846,89,0,0,25,0.0,0.0,0.0,0.0,0.0,-13.9,0.0,0.0,0,0.0,0.0,42434,59000000000019000000000000000000000000FF7500000000000000000000000000A5C2
25.28,65068.9,306.27,7,2,2025,6,10,38,47.614975,-122.17846,89,1,0,25,0.0,0.0,0.0,0.0,0.0,-10.3,0.0,0.0,0,0.0,0.0,42863,59000100000019000000000000000000000000FF9900000000000000000000000000A76F
25.28,65068.9,655.35,7,2,2025,6,10,38,47.615021999999996,-122.17846,89,2,0,25,0.0,0.0,0.0,0.0,0.0,-11.9,0.0,0.0,0,0.0,0.0,47103,59000200000019000000000000000000000000FF8900000000000000000000000000B7FF
25.28,65068.9,306.27,7,2,2025,6,10,38,47.615021999999996,-122.17846,89,3,0,25,0.0,0.0,0.0,0.0,0.0,-6.7,0.0,0.0,0,0.0,0.0,65197,59000300000019000000000000000000000000FFBD00000000000000000000000000FEAD
25.28,65068.9,306.27,7,2,2025,6,10,38,47.615021999999996,-122.17846,89,4,0,25,0.0,0.0,0.0,0.0,0.0,-8.5,0.0,0.0,0,0.0,0.0,38833,59000400000019000000000000000000000000FFAB0000000000000000000000000097B1
25.28,65068.9,306.27,7,2,2025,6,10,43,47.615021999999996,-122.17846,89,5,0,25,0.0,0.0,0.0,0.0,0.0,-9.200000000000001,0.0,0.0,0,0.0,0.0,14591,59000500000019000000000000000000000000FFA40000000000000000000000000038FF
25.28,65068.9,306.27,7,2,2025,6,10,43,47.615021999999996,-122.17846,89,6,0,25,0.0,0.0,0.0,0.0,0.0,-6.7,0.0,0.0,0,0.0,0.0,41633,59000600000019000000000000000000000000FFBD00000000000000000000000000A2A1
25.28,65068.9,306.27,7,2,2025,6,10,43,47.615021999999996,-122.17846,89,7,1,25,0.0,0.0,0.0,0.0,0.0,-6.5,0.0,0.0,0,0.0,0.0,16079,59000700010019000000000000000000000000FFBF000000000000000000000000003ECF
25.28,65068.9,306.27,7,2,2025,6,10,43,47.615021999999996,-122.17846,89,8,1,25,0.0,0.0,0.0,0.0,0.0,-6.5,0.0,0.0,0,0.0,0.0,56027,59000800010019000000000000000000000000FFBF00000000000000000000000000DADB
