Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
26.98,101035.74,24.11,16,8,2024,2,17,43,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.98,101035.91,24.09,16,8,2024,2,17,44,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,101036.16,24.07,16,8,2024,2,17,45,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,101036.66,24.03,16,8,2024,2,17,46,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,101036.56,24.04,16,8,2024,2,17,47,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,101036.3,24.06,16,8,2024,2,17,48,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,101037.0,24.0,16,8,2024,2,17,49,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.98,101037.66,23.95,16,8,2024,2,17,50,0.0,0.0,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.99,101038.8,23.85,16,8,2024,2,17,51,47.615030999999995,-122.177495,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.99,101039.45,23.8,16,8,2024,2,17,52,47.615051,-122.17756,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.0,101040.05,23.75,16,8,2024,2,17,53,47.61506,-122.177624,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101040.68,23.69,16,8,2024,2,17,54,47.615083999999996,-122.17763,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101041.0,23.67,16,8,2024,2,17,55,47.615099,-122.17763099999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.02,101041.86,23.6,16,8,2024,2,17,56,47.615109,-122.17763099999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.02,101041.96,23.59,16,8,2024,2,17,57,47.615137999999995,-122.17768199999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.03,101042.56,23.54,16,8,2024,2,17,58,47.615148,-122.177675,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.04,101042.25,23.56,16,8,2024,2,17,59,47.61515,-122.17766599999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.04,101041.58,23.62,16,8,2024,2,18,0,47.615165999999995,-122.177685,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.03,101040.63,23.7,16,8,2024,2,18,1,47.615172,-122.177696,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.03,101039.7,23.78,16,8,2024,2,18,3,47.615175,-122.177695,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.02,101037.92,23.92,16,8,2024,2,18,4,47.61517,-122.177709,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101035.22,24.15,16,8,2024,2,18,5,47.615156999999996,-122.177713,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.0,101031.91,24.43,16,8,2024,2,18,6,47.615148999999995,-122.177706,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.99,101028.2,24.73,16,8,2024,2,18,7,47.615148,-122.177706,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.0,101029.06,24.66,16,8,2024,2,18,8,47.615148999999995,-122.17769799999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101030.41,24.55,16,8,2024,2,18,9,47.615145,-122.177697,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.03,101032.14,24.41,16,8,2024,2,18,10,47.615156,-122.177714,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.04,101032.39,24.39,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.05,101032.6,24.37,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.07,101033.22,24.32,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.08,101033.67,24.28,16,8,2024,2,18,13,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.08,101033.7,24.28,16,8,2024,2,18,14,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.09,101033.88,24.26,16,8,2024,2,18,15,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.05,101025.11,24.99,16,8,2024,2,18,16,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101016.36,25.72,16,8,2024,2,18,17,47.614911,-122.178119,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
